modeldate,state,pct_estimate
9/30/2020,Hawaii,30.298859999999998
9/11/2020,Hawaii,30.304370000000002
10/16/2020,Hawaii,30.305979999999998
9/8/2020,Hawaii,30.30684
8/30/2020,Hawaii,30.31093
9/27/2020,Hawaii,30.31226
9/2/2020,Hawaii,30.31278
8/19/2020,Hawaii,30.31575
8/26/2020,Hawaii,30.31673
8/27/2020,Hawaii,30.317220000000002
9/4/2020,Hawaii,30.31725
9/5/2020,Hawaii,30.317359999999997
8/20/2020,Hawaii,30.31878
9/1/2020,Hawaii,30.32285
9/3/2020,Hawaii,30.32305
8/24/2020,Hawaii,30.32538
8/17/2020,Hawaii,30.331020000000002
8/18/2020,Hawaii,30.33131
8/31/2020,Hawaii,30.333029999999997
9/26/2020,Hawaii,30.333409999999997
8/21/2020,Hawaii,30.33516
8/25/2020,Hawaii,30.335820000000002
9/25/2020,Hawaii,30.34037
9/7/2020,Hawaii,30.3419
9/6/2020,Hawaii,30.342540000000003
9/24/2020,Hawaii,30.346740000000004
8/28/2020,Hawaii,30.35185
10/22/2020,Hawaii,30.35623
9/23/2020,Hawaii,30.36955
10/26/2020,Rhode Island,30.378809999999998
10/25/2020,Rhode Island,30.38022
10/21/2020,Hawaii,30.38285
10/20/2020,Hawaii,30.42915
10/19/2020,Hawaii,30.453590000000002
10/18/2020,Hawaii,30.4904
10/26/2020,Maryland,30.504720000000002
10/25/2020,Maryland,30.505190000000002
10/23/2020,Hawaii,30.56268
10/12/2020,Vermont,30.576990000000002
10/4/2020,Vermont,30.577009999999998
10/8/2020,Vermont,30.5774
10/3/2020,Vermont,30.578870000000002
10/11/2020,Vermont,30.58479
10/7/2020,Vermont,30.587229999999998
10/24/2020,Rhode Island,30.58805
10/6/2020,Vermont,30.59201
10/5/2020,Vermont,30.593770000000003
9/29/2020,California,30.599320000000002
9/28/2020,California,30.60254
9/27/2020,California,30.608040000000003
10/9/2020,Vermont,30.609309999999997
10/10/2020,Vermont,30.618740000000003
10/13/2020,Maryland,30.63536
10/15/2020,Maryland,30.65332
10/24/2020,Hawaii,30.65376
10/16/2020,Maryland,30.65503
10/17/2020,Maryland,30.66998
10/18/2020,Maryland,30.68862
10/19/2020,Maryland,30.690009999999997
10/20/2020,Maryland,30.70021
8/22/2020,California,30.70068
10/21/2020,Maryland,30.708340000000003
